"H","L0601","032","645220","Maria","e689cee6-d906-428d-b4a4-4376775977c7","C",,,,,,,,,,,,,,,,,,,,,
"F","SUPC","Case Qty","Split Qty","Code","Item Status","Replaced Item","Pack","Size","Unit","Brand","Mfr #","Desc","Cat","Case $","Split $","Per Lb","Market","Splittable","Splits","Min Split","Net Wt","Lead Time","Stock","Substitute","Agr",,
"C","Healthcare & Hospitality",,,,,,,,,,,,,,,,,,,,,,,,,,
"P","7202795",,,,,,"1","1 EA","EA","PROMO","","Perks Promo","Healthcare & Hospitality",0.05,,"N",,false,,0,0.01,,"STOCKED",,"N",,
"C","Dairy",,,,,,,,,,,,,,,,,,,,,,,,,,
"P","5231527",,,,,,"24","1 DOZ",,"PACKER","","Egg Shell Jumbo White","Dairy",162.88,,"N",,false,,0,38,,"STOCKED",,"N",,
"P","6809638",,,,,,"6","5 LB","LB","ARREZZIO CLASSIC","100000900","Cheese Mozzarella Pizza Shredded Whole Milk","Dairy",87.25,15.95,"N",,true,,1,30,,"STOCKED",,"N",,
"P","7139200",,,,,,"24","14 OZ","OZ","SYSCO HOUSE RECIPE","45290","Creamer Non Dairy Powder Canister","Dairy",63.55,,"N",,false,,0,21,,"STOCKED",,"N",,
"P","3602976",,,,,,"1","15 DZ","DZ","WHOLESOME FARMS IMPERIAL","74865-63284-00","Egg Shell Large White Pasteurized","Dairy",56.95,,"N",,false,,0,22.5,,"STOCKED",,"N",,
"P","2105765",,,,,,"1","30 DZ","DZ","WHOLESOME FARMS CLASSIC","22L2SW","Egg Shell Medium White Usda Aa","Dairy",103.5,,"N",,false,,0,39.5,,"STOCKED",,"N",,
"P","2105815",,,,,,"1","15 DZ","DZ","WHOLESOME FARMS CLASSIC","21L2SW","Egg Shell Medium Grade Aa Usda White","Dairy",53.15,,"N",,false,,0,19.75,,"STOCKED",,"N",,
"P","7211885",,,,,,"4","1 GAL","GAL","CREAM O LAND MILK","600","Milk White Whl","Dairy",23.39,,"N",,false,,0,34.4,,"STOCKED",,"N",,
"P","1432624",,,,,,"6","5 LB","LB","GALBANI","0160600","Cheese Mozzarella Shredded Whole Milk","Dairy",90.65,,"N",,false,,0,29.5,,"STOCKED",,"N",,
"P","5686688",,,,,,"6","5 LB","LB","ARREZZIO IMPERIAL","1008900","Cheese Mozzarella Feather Shredded Whole Milk Wisconsin","Dairy",89.59,,"N",,false,,0,30,,"STOCKED",,"N",,
"P","2331690",,,,,,"4","5LB",,"ARREZZIO IMPERIAL","136630","Cheese Mozzarella Pizza Blend","Dairy",57.95,,"N",,false,,0,20,,"STOCKED",,"N",,
"C","Meats",,,,,,,,,,,,,,,,,,,,,,,,,,
"P","1106772",,,,,,"1","10#AVG","LB","PACKER","","Beef Tripe Honeycomb","Meats",4.899,,"Y",,false,,0,10,,"STOCKED",,"N",,
"P","6046902",,,,,,"8","6-9#AV","LB","BUTCHERS BLOCK","06916","Pork Butt Boneless 1/4 6-9 Pounds Each Fresh","Meats",1.92,,"Y",,false,,0,69.516,,"STOCKED",,"N",,
"P","8757122",,,,,,"12","4-5 AV","LB","CERTIFIED ANGUS BEEF","87121","Beef Eye Of Round Namp 171c","Meats",4.559,,"Y",,false,,0,74.984,,"STOCKED",,"N",,
"P","7113747",,,,,,"2","5 LB","LB","BUCKHEAD PRIDE/ NEWPORT PRIDE","21-40176","Beef For Taco Frozen","Meats",6.159,,"Y",,false,,0,10.079,,"STOCKED",,"N",,
"P","8301780",,,,,,"3","17#AVG","LB","CERTIFIED ANGUS BEEF","76468","Beef Round Inside Denuded Choice","Meats",5.059,,"Y",,false,,0,65.644,,"STOCKED",,"N",,
"P","9009531",,,,,,"3","20#AVE","LB","CERTIFIED ANGUS BEEF","71428","Beef Chuck Roll Neck Off","Meats",5.159,,"Y",,false,,0,72.034,,"STOCKED",,"N",,
"P","1107465",,,,,,"5","15#AVG","LB","PACKER","","Beef Top Sirloin Butt Namp 184","Meats",5.35,,"Y",,false,,0,65,,"DEMAND",,"N",,
"P","1123019",,,,,,"1","32#AV","LB","PACKER","28428","Beef Top Sirloin Cap .75"" Choice","Meats",5.938,,"Y",,false,,0,35.785,,"STOCKED",,"N",,
"P","2555464",,,,,,"1","60 LB","LB","PACKER","06444","Beef Cheek Meat Frozen","Meats",321.35,,"N",,false,,0,60,,"STOCKED",,"N",,
"P","1372358",,,,,,"1","15#AVG","LB","AMERICAN FOOD GROUP","06824","Beef Intestine Small Of Cow","Meats",2.359,,"Y",,false,,0,15.001,,"STOCKED",,"N",,
"P","0860435",,,,,,"4","2.5 LB",,"MR TANGO","C130","Sausage Pork Chorizo Argentino","Meats",40.95,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","4965954",,,,,,"1","30#AVG","LB","CAB BUCKHEAD PRIDE/ NEWPORT PRIDE","28-31815","Beef Short Rib 3 Bone","Meats",8.525,,"Y",,false,,0,24.1,,"DEMAND",,"N",,
"P","9903271",,,,,,"2","1 PCE","PCE","BUTCHERS BLOCK","40095","Pork Belly Skin On","Meats",3.359,,"Y",,false,,0,28.144,,"STOCKED",,"N",,
"P","1741792",,,,,,"2","15#AVG","LB","BUTCHER BLOCK IMPERIAL","36851","Beef Flap Meat Sirloin Choice","Meats",11.15,,"Y",,false,,0,29.931,,"STOCKED",,"N",,
"P","8142374",,,,,,"6","8# UP","LB","CERTIFIED ANGUS BEEF","6788","Beef Knuckles Peeled Choice Namp 167a","Meats",4.699,,"Y",,false,,0,69.053,,"STOCKED",,"N",,
"P","1137728",,,,,,"2","5 LB","LB","BLOCK & BARREL IMPERIAL","74865067997","Frank All-beef 8 Per Pound 6""","Meats",55.85,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","6963326",,,,,,"2","13 LB","LB","HORMEL","13507","Ham 4"" X 6"" Cooked Domestic Water-added Not Smoked","Meats",83.59,,"N",,false,,0,26,,"STOCKED",,"N",,
"P","5807769",,,,,,"2","5 LB","LB","BUTCHERS BLOCK","35740","Pork Diced 1"" Frozen","Meats",38.95,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","1418458",,,,,,"4","18#AVG","LB","CERTIFIED ANGUS BEEF","88720","Beef Sirloin Flap Meat Fresh","Meats",10.05,,"Y",,false,,0,73.449,,"STOCKED",,"N",,
