"H","L0601","032","645220","Papr Goods","f0236f39-d6ab-432a-90b5-f4f4b230de2f-dbmgv2","C",,,,,,,,,,,,,,,,,,,,,
"F","SUPC","Case Qty","Split Qty","Code","Item Status","Replaced Item","Pack","Size","Unit","Brand","Mfr #","Desc","Cat","Case $","Split $","Per Lb","Market","Splittable","Splits","Min Split","Net Wt","Lead Time","Stock","Substitute","Agr",,
"P","2826400",,,,,,"20","50CT","CT","SYSCO CLASSIC","YFE6FSYS","Container Foam Round 6 Ounce Squat White","Paper & Disposable",47.65,,"N",,false,,0,4.056,,"STOCKED",,"N",,
"P","7156710",,,,,,"24","126 CT","CT","SYSCO CLASSIC","7156710","Napkin Dinner 16 X 15 Inches 2-ply White 1/8 Fold","Paper & Disposable",66.84,,"N",,false,,0,30.74,,"STOCKED",,"N",,
"P","2976027",,,,,,"10","100CT","CT","PACTIV CORP","YLEFEVW","Lid Plastic Vented White 6-12 Ounce Series E","Paper & Disposable",36.51,,"N",,false,,0,6.5,,"STOCKED",,"N",,
"P","0951968",,,,,,"10","100 CT","CT","SYSCO RELIANCE","304763363","Glove Latex Foodservice Powdered Large","Paper & Disposable",59.62,,"N",,false,,0,12.6,,"STOCKED",,"N",,
"P","8018838",,,,,,"240","16OZ","OZ","DELITAINER (NEWSPRING)","YSD2516","Container Plastic Deli Translucent With Lid","Paper & Disposable",38.5,,"N",,false,,0,14.44,,"STOCKED",,"N",,
"P","7147251",,,,,,"240","16 OZ","OZ","PRO PAK (DISP)","FT-S16","Container Plastic Deli Transparent With Lid","Paper & Disposable",32.98,,"N",,false,,0,13,,"STOCKED",,"N",,
"P","3291218",,,,,,"500","12OZ","OZ","SYSCO CLASSIC","SY12SJ20","Container Foam Round White Squat 12 Ounce","Paper & Disposable",34.91,,"N",,false,,0,3.891,,"STOCKED",,"N",,
"P","3291143",,,,,,"20","50CT","CT","SYSCO CLASSIC","SY8SJ20","Container Foam Round White Squat 8 Ounce","Paper & Disposable",51.75,,"N",,false,,0,5.975,,"STOCKED",,"N",,
"P","7551324",,,,,,"150","9X9X3","""","SYSCO CLASSIC","YTD199S30000","Container Foam Hinged 3 Compartment Double Tab","Paper & Disposable",19.31,,"N",,false,,0,4.506,,"STOCKED",,"N",,
"P","7551308",,,,,,"150","8X8X3N","""","SYSCO CLASSIC","YTD188S10000","Container Foam Hinged 1 Compartment Double Tab","Paper & Disposable",20.19,,"N",,false,,0,3.661,,"STOCKED",,"N",,
"P","7116212",,,,,,"10","25CT","CT","SYSCO CLASSIC","7116212","Container Paper 16 Ounce White Round Tall Combo With Plastic Lid","Paper & Disposable",56.9,,"N",,false,,0,11,,"STOCKED",,"N",,
"P","6938500",,,,,,"6","500CT","CT","SYSCO CLASSIC","W69372","Foil Sheet 9 Inch X 10.75 Inch Silver","Paper & Disposable",84.35,17.07,"N",,true,,1,14.791,,"STOCKED",,"N",,
"P","5658939",,,,,,"6","500 CT","CT","SYSCO CLASSIC","W69369","Foil Aluminum Sheet 12 Inch X 10.75 Inch Pop Up","Paper & Disposable",119.09,23.87,"N",,true,,1,21.997,,"STOCKED",,"N",,
"P","6938328",,,,,,"1","18 IN","""","SYSCO CLASSIC","W69318","Foil Aluminum Roll Standard Weight 500 Feet","Paper & Disposable",31.05,,"N",,false,,0,6.376,,"STOCKED",,"N",,
"P","6937767",,,,,,"1","18 IN","""","SYSCO CLASSIC","W69328","Foil Aluminum Roll Heavy Weight 500 Feet","Paper & Disposable",38.23,,"N",,false,,0,9.032,,"STOCKED",,"N",,
