"H","L0601","032","645220","Protein","d6f52221-bdd1-47a7-bc8d-50bd54caf89a-dbmgv2","C",,,,,,,,,,,,,,,,,,,,,
"F","SUPC","Case Qty","Split Qty","Code","Item Status","Replaced Item","Pack","Size","Unit","Brand","Mfr #","Desc","Cat","Case $","Split $","Per Lb","Market","Splittable","Splits","Min Split","Net Wt","Lead Time","Stock","Substitute","Agr",,
"P","8301780",,,,,,"3","17#AVG","LB","CERTIFIED ANGUS BEEF","76468","Beef Round Inside Denuded Choice","Meats",5.059,,"Y",,false,,0,65.644,,"STOCKED",,"N",,
"P","9009531",,,,,,"3","20#AVE","LB","CERTIFIED ANGUS BEEF","71428","Beef Chuck Roll Neck Off","Meats",5.159,,"Y",,false,,0,72.034,,"STOCKED",,"N",,
"P","1107465",,,,,,"5","15#AVG","LB","PACKER","","Beef Top Sirloin Butt Namp 184","Meats",5.35,,"Y",,false,,0,65,,"DEMAND",,"N",,
"P","1123019",,,,,,"1","32#AV","LB","PACKER","28428","Beef Top Sirloin Cap .75"" Choice","Meats",5.938,,"Y",,false,,0,35.785,,"STOCKED",,"N",,
"P","2555464",,,,,,"1","60 LB","LB","PACKER","06444","Beef Cheek Meat Frozen","Meats",321.35,,"N",,false,,0,60,,"STOCKED",,"N",,
"P","1372358",,,,,,"1","15#AVG","LB","AMERICAN FOOD GROUP","06824","Beef Intestine Small Of Cow","Meats",2.359,,"Y",,false,,0,15.001,,"STOCKED",,"N",,
"P","4418117",,,,,,"1","40LB","LB","SYSCO CLASSIC","14612","Chicken Legs Quarters Jumbo Controlled Vacuum Packed","Poultry",39.85,,"N",,false,,0,40,,"STOCKED",,"N",,
"P","0860435",,,,,,"4","2.5 LB",,"MR TANGO","C130","Sausage Pork Chorizo Argentino","Meats",40.95,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","1106772",,,,,,"1","10#AVG","LB","PACKER","","Beef Tripe Honeycomb","Meats",4.899,,"Y",,false,,0,10,,"STOCKED",,"N",,
"P","2334732",,,,,,"1","40 LB","LB","SYSCO CLASSIC","14200","Chicken CVP Drumstick Jumbo","Poultry",32.49,,"N",,false,,0,40,,"STOCKED",,"N",,
"P","4248417",,,,,,"4","10 LB","LB","SYSCO CLASSIC","","Chicken Cvp Whole Wings Frozen","Poultry",93.3,,"N",,false,,0,40,,"STOCKED",,"Y",,
"P","0496665",,,,,,"2","5 LB","LB","PORTICO CLASSIC SEAFOOD","0496665","Tilapia Fillet Boneless Skinless Iqf 5-7 Ounce Farm Raised","Seafood",44.35,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","6046902",,,,,,"8","6-9#AV","LB","BUTCHERS BLOCK","06916","Pork Butt Boneless 1/4 6-9 Pounds Each Fresh","Meats",1.92,,"Y",,false,,0,69.516,,"STOCKED",,"N",,
"P","4965954",,,,,,"1","30#AVG","LB","CAB BUCKHEAD PRIDE/ NEWPORT PRIDE","28-31815","Beef Short Rib 3 Bone","Meats",8.525,,"Y",,false,,0,24.1,,"DEMAND",,"N",,
"P","9903271",,,,,,"2","1 PCE","PCE","BUTCHERS BLOCK","40095","Pork Belly Skin On","Meats",3.359,,"Y",,false,,0,28.144,,"STOCKED",,"N",,
"P","7952492",,,,,,"4","2.5 LB","LB","PORTICO CLASSIC SEAFOOD","261652071PB","Shrimp White Peeled And Deveined  Tail-off 41/50 Count","Seafood",41.37,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","7001207",,,,"Phased Out",,"1","10 LB","LB","SUPREMO","","Sausage Pork Chorizo","Meats",50.14,,"N",,false,,0,10,,"NONSTOCK",,"N",,
"P","7203474",,,,,,"4","10 LB","LB","SYSCO CLASSIC","14072","Chicken Cvp Breast Boneless-skinless Whole Random Jumbo","Poultry",84.5,,"N",,false,,0,40,,"STOCKED",,"N",,
"P","5231527",,,,,,"24","1 DOZ",,"PACKER","","Egg Shell Jumbo White","Dairy",162.88,,"N",,false,,0,38,,"STOCKED",,"N",,
"P","1741792",,,,,,"2","15#AVG","LB","BUTCHER BLOCK IMPERIAL","36851","Beef Flap Meat Sirloin Choice","Meats",11.15,,"Y",,false,,0,29.931,,"STOCKED",,"N",,
"P","1912278",,,,,,"30","1 DZ",,"PACKER","","Egg Shell Med","Dairy",46.75,,"N",,false,,0,42,,"DEMAND",,"N",,
"P","9156746",,,,,,"1","50 LB","LB","SYSCO RELIANCE","11364COM","Lard Cube Deodorized","Canned & Dry",59.59,,"N",,false,,0,50,,"STOCKED",,"N",,
"P","8142374",,,,,,"6","8# UP","LB","CERTIFIED ANGUS BEEF","6788","Beef Knuckles Peeled Choice Namp 167a","Meats",4.699,,"Y",,false,,0,69.053,,"STOCKED",,"N",,
